id_ejercicio,nombre,h1,h2,h3,h4,s1,s2,s3,s4,k1,k2,k3,k4,hito,skill,knowledge,complexity,complexity12
0,Cálculo del dígito verificador del rut,0,0,0,1,0,0,0,1,0,1,1,1,1,1,7,23,279
1,Calculadora Geométrica,0,0,1,0,0,0,0,1,0,0,0,1,2,1,1,17,529
2,Subsecuencias de ADN,0,0,1,0,0,0,1,1,0,1,1,1,2,3,7,55,567
3,Números Primos,0,0,0,1,0,0,0,0,0,0,1,1,1,0,3,3,259
4,Nota Final,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,257
5,Validador de Expresiones Matemáticas,0,1,0,0,1,0,0,0,0,1,1,1,4,8,7,135,1159
6,Suma de los divisores de un número,0,0,1,0,0,0,0,1,0,0,1,1,2,1,3,19,531
7,Resolver un sistema de ecuaciones,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,257
8,Distancia Levenshtein,0,0,1,0,0,0,1,1,0,1,1,1,2,3,7,55,567
9,Validar Secuencias de ADN,0,0,1,0,0,0,1,0,0,1,1,1,2,2,7,39,551
10,Descomponer un número,0,0,0,1,0,0,0,0,0,0,1,1,1,0,3,3,259
11,Adivina la palabra,0,0,1,0,0,0,1,0,0,1,1,1,2,2,7,39,551
12,Función buscarTodas,0,0,1,0,0,0,1,0,0,1,1,1,2,2,7,39,551
13,Cajero Automático Nivel 2,0,0,0,1,0,0,0,1,0,0,1,1,1,1,3,19,275
14,Clase Auto,0,0,1,1,0,0,1,0,1,0,1,1,3,2,11,43,811
15,Twitter,0,0,1,1,0,1,0,1,0,1,1,1,3,5,7,87,855
16,Ornitología 1,0,0,1,1,0,0,0,0,1,0,0,0,3,0,8,8,776
17,Suma de los N primeros números naturales,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,2,258
18,Juego Adivina mi número,0,0,0,1,0,0,0,0,0,0,1,1,1,0,3,3,259
19,Cuenta Corriente en un Banco,0,0,1,1,0,0,1,0,1,0,1,1,3,2,11,43,811
20,Multiplicación de Matrices ,0,0,1,1,0,1,0,0,0,1,1,1,3,4,7,71,839
21,El antipoema,0,0,1,0,0,0,1,0,0,1,1,1,2,2,7,39,551
22,Signo del Zodíaco,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,17,273
23,Conversor de Decimal a Binario,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,2,258
24,Clase Vector3D,0,0,1,1,0,0,0,1,1,1,1,1,3,1,15,31,799
25,Ordenar tres números,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,257
26,Contestador Automático,0,0,0,1,0,0,0,0,0,0,1,1,1,0,3,3,259
27,Decodificador,0,0,1,1,0,0,1,0,0,1,1,1,3,2,7,39,807
28,Encriptador ROT13,0,0,1,0,0,0,1,0,0,1,1,1,2,2,7,39,551
29,Aprobación de Créditos,0,0,0,1,0,0,0,0,0,0,1,1,1,0,3,3,259
30,Interpretar Expresiones Matématicas,0,1,0,0,1,1,0,0,0,1,1,1,4,12,7,199,1223
31,Carro de Compras,0,0,1,0,0,0,1,0,0,1,1,1,2,2,7,39,551
32,Cajero Automático Nivel 1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,3,3,259
33,Alineamiento de Secuencias,0,0,1,0,0,1,0,0,0,1,1,1,2,4,7,71,583
34,Ornitología 3,0,0,1,1,0,0,0,0,1,1,0,0,3,0,12,12,780
35,Factores Primos,0,0,0,1,0,0,0,1,0,0,1,1,1,1,3,19,275
36,Pintar Región,0,1,0,0,1,0,0,0,0,1,1,1,4,8,7,135,1159
37,Jerigonzo,0,0,1,0,0,0,1,0,0,1,1,1,2,2,7,39,551
38,Decodificador,0,0,1,0,0,0,1,0,0,1,1,1,2,2,7,39,551
39,Clase Fracción,0,0,1,1,0,0,0,1,1,1,1,1,3,1,15,31,799
40,Juego del Gato,0,0,1,1,0,1,0,1,1,1,1,1,3,5,15,95,863
41,Clase FechaHora,0,0,1,1,0,0,1,0,1,1,1,1,3,2,15,47,815
42,Números Amigos,0,0,0,1,0,0,0,0,0,0,1,1,1,0,3,3,259
43,Clase Usuario,0,0,1,1,0,0,1,1,1,1,1,1,3,3,15,63,831
44,Números Perfectos,0,0,1,0,0,0,0,1,0,0,1,1,2,1,3,19,531
45,Carro de Compras,0,0,1,1,0,0,1,0,1,1,1,1,3,2,15,47,815
46,Pokemon,0,0,1,1,0,0,1,1,1,1,1,1,3,3,15,63,831
47,El problema de la mochila,0,1,0,0,1,1,0,0,0,1,1,1,4,12,7,199,1223
48,Sopa de Letras,0,0,1,0,0,1,0,1,0,1,1,1,2,5,7,87,599
49,Caminos entre ciudades,0,0,1,1,0,0,1,0,1,1,1,1,3,2,15,47,815
50,MCM recursivo,0,1,0,0,0,0,0,1,0,0,1,1,4,1,3,19,1043
51,Combinaciones de Números Binarios,0,1,0,0,1,1,0,0,0,1,1,1,4,12,7,199,1223
52,Ornitología 2,0,0,1,1,0,0,0,0,1,0,0,0,3,0,8,8,776
