id_estudiante,programa,exitosos,fallidos,ejercicios_hito1,ejercicios_hito2,ejercicios_hito3,ejercicios_hito4,solemne_1,solemne_2,solemne_3,solemne_4
0,INGENIERIA INDUSTRIAL,15,24,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 18]","[6, 1, 44]",-1,-1,6.2,6.8,5.1,6.0
1,INGENIERIA CIVIL INDUSTRIAL,10,6,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3]",-1,-1,-1,7.0,6.9,7.0,7.0
2,INGENIERIA CIVIL INDUSTRIAL,11,20,"[25, 17, 4, 26, 29, 23, 3, 42, 32, 18, 35]",-1,-1,-1,5.6,6.0,4.5,5.4
3,INGENIERIA CIVIL INDUSTRIAL,7,17,[25],-1,-1,-1,3.9,4.7,3.7,4.1
4,INGENIERIA EN COMPUTACION E INFORMATICA,13,18,"[25, 17, 4, 29, 23, 0, 22, 3, 42, 32, 13]","[1, 44]",-1,-1,4.6,6.6,4.7,5.3
5,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,-1,-1,-1,-1,1.0,1.0,1.0,1.0
6,INGENIERIA EN COMPUTACION E INFORMATICA,10,21,"[25, 17, 4, 26, 29, 0, 22, 10, 32, 13]",-1,-1,-1,6.6,5.0,5.6,5.7
7,INGENIERIA CIVIL INDUSTRIAL,0,0,-1,-1,-1,-1,1.0,1.0,1.0,1.0
8,INGENIERIA EN COMPUTACION E INFORMATICA,15,24,"[25, 17, 4, 26, 23, 0, 22, 10, 3, 42, 32, 13, 18]","[44, 28]",-1,-1,4.6,4.8,6.4,5.6
9,INGENIERIA CIVIL INDUSTRIAL,18,6,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3]",-1,-1,-1,5.3,6.1,6.0,5.8
10,INGENIERIA EN COMPUTACION E INFORMATICA,19,20,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 18, 35]",-1,-1,-1,5.3,4.9,5.3,5.2
11,INGENIERIA INDUSTRIAL,11,20,"[17, 4, 26, 29, 22, 10, 3, 42]","[1, 44, 28]",-1,-1,6.3,6.4,6.2,6.2
12,INGENIERIA CIVIL INDUSTRIAL,12,12,"[25, 17, 4, 26, 29, 22]",-1,-1,-1,5.2,1.0,1.0,1.0
13,INGENIERIA INDUSTRIAL,9,22,"[25, 17, 4, 26, 0, 22, 10, 3, 35]",-1,-1,-1,5.2,5.1,4.4,4.9
14,INGENIERIA EN COMPUTACION E INFORMATICA,17,22,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 18]","[6, 28]",-1,-1,7.0,6.8,6.3,6.7
15,INGENIERIA CIVIL INDUSTRIAL,14,25,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 18, 35]",[6],-1,-1,6.8,6.5,7.0,6.8
16,INGENIERIA INDUSTRIAL,0,0,-1,-1,-1,-1,1.0,1.0,1.0,1.0
17,INGENIERIA CIVIL INFORMATICA,23,16,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 7, 32, 13, 18, 35]","[6, 1, 44, 11, 37, 28, 12]",-1,-1,6.8,6.8,6.6,6.7
18,INGENIERIA CIVIL INDUSTRIAL,23,24,"[25, 17, 4, 26, 29, 0, 22, 10, 42, 7, 32, 18, 35]","[6, 1, 44, 37, 28, 12, 21, 38, 8, 9]",-1,-1,6.6,6.6,6.6,6.6
