id_estudiante,programa,exitosos,fallidos,solemne_1,solemne_2,solemne_3,solemne_4,videos,score_a,score_p,score_d,score_s,t1,t2,t3,t4,t5,t6,r1,r2,r3,r4,r5,r6,p1,p2,p3,p4,p5,p6,op1,op2,op3,op4,op5,op6,sv1,sv2,sv3,sv4,sv5,sv6,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47,e48,e49,e50,e51,e52
0,INGENIERIA INDUSTRIAL,15,24,6.2,6.8,5.1,6.0,0.0,5.0,4.0,2.0,3.0,64.3013103,251.0564093,224.745993,59.952302,180.2234557,105.741338,1.0,3.0,1.0,1.0,5.0,1.0,4.0,10.0,19.0,5.0,13.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1,INGENIERIA CIVIL INDUSTRIAL,10,6,7.0,6.9,7.0,7.0,0.0,4.0,4.0,2.0,3.0,97.17089997,93.27364,108.99154,38.2730334,62.5489466,47.40264,2.0,2.0,1.0,1.0,1.0,2.0,5.0,9.0,18.0,3.0,7.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,INGENIERIA CIVIL INDUSTRIAL,11,20,5.6,6.0,4.5,5.4,0.0,5.0,4.0,3.0,2.0,85.59673437,217.0711803,150.40652,96.7101003,59.137248,102.937465,1.0,7.0,1.0,1.0,1.0,2.0,8.0,16.0,11.0,5.0,2.0,7.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,INGENIERIA CIVIL INDUSTRIAL,7,17,3.9,4.7,3.7,4.1,0.0,3.0,3.0,1.0,2.0,57.77616303,97.665937,187.0636336,69.7781864,44.290579,78.262694,1.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,11.0,6.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,INGENIERIA EN COMPUTACION E INFORMATICA,13,18,4.6,6.6,4.7,5.3,0.0,6.0,4.0,3.0,3.0,32.51981634,57.51439663,75.5684387,54.644516,91.402663,148.266473,1.0,2.0,1.0,1.0,2.0,4.0,3.0,5.0,8.0,3.0,6.0,20.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
6,INGENIERIA EN COMPUTACION E INFORMATICA,10,21,6.6,5.0,5.6,5.7,0.0,4.0,4.0,3.0,3.0,124.229255,48.252944,79.1230763,115.836988,34.416659,36.963991,3.0,1.0,1.0,3.0,1.0,1.0,47.0,11.0,11.0,27.0,14.0,12.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,INGENIERIA EN COMPUTACION E INFORMATICA,15,24,4.6,4.8,6.4,5.6,1.0,3.0,2.0,1.0,2.0,18.63171766,30.9841,61.76179833,40.0009877,35.867928,35.517905,1.0,1.0,1.0,2.0,1.0,1.0,8.0,10.0,20.0,17.0,15.0,14.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
9,INGENIERIA CIVIL INDUSTRIAL,18,6,5.3,6.1,6.0,5.8,0.0,2.0,2.0,0.0,0.0,381.6505967,75.3470066,113.8203494,50.553369,66.6491093,110.537645,9.0,1.0,1.0,1.0,2.0,2.0,28.0,11.0,7.0,3.0,4.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,INGENIERIA EN COMPUTACION E INFORMATICA,19,20,5.3,4.9,5.3,5.2,0.0,3.0,1.0,3.0,1.0,21.24801433,26.693425,84.05994337,159.627102,35.235706,61.5456033,1.0,1.0,1.0,2.0,1.0,1.0,15.0,11.0,15.0,12.0,7.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,INGENIERIA INDUSTRIAL,11,20,6.3,6.4,6.2,6.2,0.0,4.0,2.0,1.0,3.0,575.0314327,64.29117,109.8668457,116.0161466,41.9432277,123.963937,9.0,1.0,1.0,2.0,1.0,2.0,70.0,12.0,30.0,16.0,14.0,28.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
12,INGENIERIA CIVIL INDUSTRIAL,12,12,5.2,1.0,1.0,1.0,2.0,4.0,4.0,1.0,1.0,272.8887,81.58826,260.14092,298.24178,42.71764,278.4803397,14.0,1.0,3.0,5.0,1.0,4.0,27.0,6.0,26.0,16.0,3.0,10.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,INGENIERIA INDUSTRIAL,9,22,5.2,5.1,4.4,4.9,0.0,3.0,1.0,1.0,2.0,340.44118,125.31038,506.7894337,96.68876,61.97278,71.04678,3.0,1.0,6.0,1.0,1.0,1.0,10.0,11.0,49.0,5.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,INGENIERIA EN COMPUTACION E INFORMATICA,17,22,7.0,6.8,6.3,6.7,0.0,3.0,1.0,1.0,3.0,45.5,92.78158,212.2371533,124.16398,99.32442,159.7654334,1.0,2.0,2.0,2.0,3.0,2.0,5.0,5.0,10.0,8.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,INGENIERIA CIVIL INDUSTRIAL,14,25,6.8,6.5,7.0,6.8,0.0,1.0,1.0,1.0,1.0,86.54676734,118.568193,231.2325827,41.481367,48.23644,83.6284203,1.0,3.0,2.0,1.0,1.0,2.0,5.0,15.0,13.0,4.0,3.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,INGENIERIA CIVIL INFORMATICA,23,16,6.8,6.8,6.6,6.7,0.0,7.0,5.0,4.0,3.0,215.56075,49.549121,199.3655063,140.041638,164.057281,108.857049,11.0,1.0,1.0,2.0,2.0,2.0,35.0,2.0,8.0,8.0,8.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
18,INGENIERIA CIVIL INDUSTRIAL,23,24,6.6,6.6,6.6,6.6,4.0,7.0,4.0,4.0,3.0,171.194972,118.9880163,391.4834743,122.3484917,68.4554033,50.8121643,1.0,1.0,2.0,1.0,1.0,1.0,6.0,7.0,25.0,12.0,9.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
19,INGENIERIA INDUSTRIAL,14,25,5.7,5.6,6.4,5.9,0.0,5.0,3.0,2.0,3.0,123.0358386,133.7649217,463.622319,56.5305247,39.3418743,85.0450717,1.0,3.0,9.0,1.0,1.0,9.0,6.0,10.0,34.0,4.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,INGENIERIA EN COMPUTACION E INFORMATICA,8,8,6.8,5.9,5.9,6.2,0.0,3.0,2.0,1.0,1.0,235.695726,817.6501387,403.422115,190.454699,58.761676,37.364933,11.0,24.0,9.0,6.0,1.0,1.0,17.0,56.0,54.0,26.0,11.0,9.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,INGENIERIA CIVIL INFORMATICA,15,32,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,3.0,46.11378537,36.897676,109.8766143,125.408891,71.995638,119.359238,1.0,1.0,1.0,2.0,1.0,3.0,3.0,5.0,3.0,4.0,2.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
22,INGENIERIA CIVIL INDUSTRIAL,28,19,6.2,6.4,6.2,6.3,13.0,2.0,2.0,1.0,2.0,14.9474633,312.4427027,46.2097737,37.3850383,28.9605363,80.8594437,1.0,3.0,1.0,1.0,1.0,1.0,4.0,41.0,14.0,6.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
23,INGENIERIA INDUSTRIAL,47,0,6.8,6.6,7.0,6.8,7.0,6.0,5.0,3.0,3.0,119.9348037,34.834133,92.657409,91.290563,176.6565863,27.22659,5.0,1.0,2.0,1.0,9.0,1.0,11.0,8.0,18.0,8.0,24.0,9.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
