id_estudiante,t1,t2,t3,t4,t5,t6,r1,r2,r3,r4,r5,r6,p1,p2,p3,p4,p5,p6,op1,op2,op3,op4,op5,op6,score_a,score_p,score_d,score_s
0,64.3013103,251.0564093,224.745993,59.952302,180.2234557,105.741338,1,3,1,1,5,1,4,10,19,5,13,5,1,1,0,1,1,0,5,4,2,3
1,97.17089997,93.27364,108.99154,38.2730334,62.5489466,47.40264,2,2,1,1,1,2,5,9,18,3,7,4,0,0,0,1,0,1,4,4,2,3
2,85.59673437,217.0711803,150.40652,96.7101003,59.137248,102.937465,1,7,1,1,1,2,8,16,11,5,2,7,1,1,0,0,0,1,5,4,3,2
3,57.77616303,97.665937,187.0636336,69.7781864,44.290579,78.262694,1,1,2,2,1,1,2,4,11,6,4,8,0,0,0,0,1,0,3,3,1,2
4,32.51981634,57.51439663,75.5684387,54.644516,91.402663,148.266473,1,2,1,1,2,4,3,5,8,3,6,20,1,1,1,0,1,1,6,4,3,3
5,171.8334483,119.11679,250.1836323,76.616859,61.200057,58.6167887,3,2,3,2,3,2,17,10,20,5,4,5,0,1,1,1,1,1,6,4,3,3
6,124.229255,48.252944,79.1230763,115.836988,34.416659,36.963991,3,1,1,3,1,1,47,11,11,27,14,12,1,1,0,1,0,0,4,4,3,3
7,61.88488797,54.659338,83.578779,94.583914,60.303409,99.012441,1,1,1,2,1,3,7,12,14,15,13,20,1,0,1,1,0,0,4,2,2,1
8,18.63171766,30.9841,61.76179833,40.0009877,35.867928,35.517905,1,1,1,2,1,1,8,10,20,17,15,14,1,1,0,1,0,0,3,2,1,2
9,381.6505967,75.3470066,113.8203494,50.553369,66.6491093,110.537645,9,1,1,1,2,2,28,11,7,3,4,7,1,1,1,1,1,1,2,2,0,0
10,21.24801433,26.693425,84.05994337,159.627102,35.235706,61.5456033,1,1,1,2,1,1,15,11,15,12,7,9,1,1,0,0,0,0,3,1,3,1
11,575.0314327,64.29117,109.8668457,116.0161466,41.9432277,123.963937,9,1,1,2,1,2,70,12,30,16,14,28,1,0,0,1,0,0,4,2,1,3
12,272.8887,81.58826,260.14092,298.24178,42.71764,278.4803397,14,1,3,5,1,4,27,6,26,16,3,10,0,1,1,1,1,0,4,4,1,1
13,340.44118,125.31038,506.7894337,96.68876,61.97278,71.04678,3,1,6,1,1,1,10,11,49,5,3,4,0,0,0,0,0,1,3,1,1,2
14,45.5,92.78158,212.2371533,124.16398,99.32442,159.7654334,1,2,2,2,3,2,5,5,10,8,5,3,1,1,1,0,0,1,3,1,1,3
15,86.54676734,118.568193,231.2325827,41.481367,48.23644,83.6284203,1,3,2,1,1,2,5,15,13,4,3,7,0,1,1,1,1,1,1,1,1,1
16,136.3213933,73.339819,92.0411724,83.3649,47.5944283,40.816506,1,1,1,3,1,1,7,7,21,20,6,5,1,1,0,1,0,1,5,4,2,2
17,215.56075,49.549121,199.3655063,140.041638,164.057281,108.857049,11,1,1,2,2,2,35,2,8,8,8,4,0,1,0,0,0,1,7,5,4,3
18,171.194972,118.9880163,391.4834743,122.3484917,68.4554033,50.8121643,1,1,2,1,1,1,6,7,25,12,9,5,1,0,0,0,0,1,7,4,4,3
19,123.0358386,133.7649217,463.622319,56.5305247,39.3418743,85.0450717,1,3,9,1,1,9,6,10,34,4,3,3,0,1,0,0,0,1,5,3,2,3
20,235.695726,817.6501387,403.422115,190.454699,58.761676,37.364933,11,24,9,6,1,1,17,56,54,26,11,9,1,0,1,0,0,1,3,2,1,1
21,46.11378537,36.897676,109.8766143,125.408891,71.995638,119.359238,1,1,1,2,1,3,3,5,3,4,2,7,1,1,0,0,0,0,7,4,4,3
22,14.9474633,312.4427027,46.2097737,37.3850383,28.9605363,80.8594437,1,3,1,1,1,1,4,41,14,6,4,19,0,0,0,0,0,0,2,2,1,2
23,119.9348037,34.834133,92.657409,91.290563,176.6565863,27.22659,5,1,2,1,9,1,11,8,18,8,24,9,1,0,1,0,1,1,6,5,3,3
24,27.155248,112.265106,150.5813286,89.8655024,117.431759,75.165521,1,3,1,1,1,1,3,17,7,2,3,10,1,1,0,0,0,0,4,1,1,1
25,38.585319,71.322821,169.768669,41.484166,53.746184,51.130519,1,2,3,1,3,2,4,6,17,6,9,10,1,1,1,1,1,1,3,4,2,3
26,127.0773354,174.152848,267.32088,41.864647,90.512087,40.681259,5,2,3,1,2,1,6,6,8,1,2,1,1,1,0,1,0,1,5,3,3,2
27,116.1027554,156.187434,269.4219846,68.8646,95.92676,126.740691,1,1,2,1,1,1,9,10,13,2,4,6,0,0,0,1,0,0,6,5,3,2
