codigo;puntos;id;titulo;Dificulty;Abstraction1;Abstraction2;Abstraction2;Decomposition1;Decomposition2;Decomposition3;Decomposition4;Pattern_Recognition_and_Generalization1;Pattern_Recognition_and_Generalization2;Pattern_Recognition_and_Generalization3;Pattern_Recognition_and_Generalization4;Algorithmic_thinking1;Algorithmic_thinking2;Algorithmic_thinking3;Algorithmic_thinking4;Algorithmic_thinking5
hito1_ej6;1;25;Ordenar tres números;1.25;1.0;0.0;0.25;1.0;1.0;0.25;0.0;1.0;0.0;0.25;0.0;1.0;0.25;0.0;0.0;0.0
tema1_ej1;1;17;Suma de los N primeros números naturales;1.25;1.0;0.0;0.25;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.25;0.0;0.0;0.0
hito1_ej1;1;4;Nota Final;1.25;1.0;0.0;0.25;1.0;0.25;0.25;0.0;0.0;0.0;0.0;0.0;0.75;0.25;0.0;0.0;0.0
hito1_ej2;2;26;Contestador Automático;3.0;1.0;0.25;0.25;1.0;0.25;0.25;0.0;0.75;0.0;0.25;0.25;0.25;0.0;0.25;0.0;0.0
hito1_ej3;2;29;Aprobación de Créditos;3.0;1.0;0.5;0.5;1.0;0.25;0.25;0.0;0.5;0.0;0.5;0.0;0.5;0.0;0.25;0.0;0.0
hito1_ej4;3;23;Conversor de Decimal a Binario;2.25;1.0;0.25;0.25;1.0;0.0;0.0;0.25;0.25;0.5;0.5;0.0;0.25;0.0;0.25;0.0;0.25
hito1_ej5;2;0;Cálculo del dígito verificador del rut;2.25;1.0;0.5;0.25;1.0;0.0;0.0;0.0;0.25;0.25;0.75;0.0;0.25;0.25;0.25;0.0;0.25
hito1_ej7;2;22;Signo del Zodíaco;2.0;1.0;0.25;0.5;0.75;0.0;0.0;0.0;0.5;0.25;0.5;0.25;0.25;0.25;0.25;0.0;0.0
hito1_ej8;1;10;Descomponer un número;2.75;1.0;0.25;0.5;1.0;0.5;0.25;0.0;0.25;0.5;0.5;0.0;0.25;0.25;0.25;0.0;0.0
tema2_p1;2;3;Números Primos;1.5;1.0;0.0;0.25;0.75;0.0;0.0;0.25;0.5;0.0;0.25;0.25;0.25;0.0;0.25;0.0;0.0
tema2_ej2;3;42;Números Amigos;2.75;1.0;0.5;0.25;0.75;0.25;0.25;0.25;0.5;0.0;0.25;0.25;0.5;0.0;0.25;0.0;0.0
hito1_ej9;1;7;Resolver un sistema de ecuaciones;3.25;1.0;0.0;0.25;1.0;0.75;0.25;0.0;0.25;0.0;0.5;0.0;0.25;0.25;0.25;0.0;0.25
hito1_ej10;2;32;Cajero Automático Nivel 1;3.25;1.0;0.0;0.25;0.75;0.5;0.25;0.25;0.5;0.5;0.75;0.25;0.5;0.25;0.5;0.25;0.0
hito1_ej11;4;13;Cajero Automático Nivel 2;3.5;0.75;0.25;0.25;1.0;0.5;0.25;0.0;0.75;0.5;0.5;0.25;0.25;0.5;0.25;0.25;0.5
hito1_ej12;2;18;Juego Adivina mi número;2.25;1.0;0.0;0.25;0.5;0.25;0.0;0.0;1.0;0.5;0.5;0.25;0.25;0.5;0.5;0.25;0.5
hito1_ej13;3;35;Factores Primos;2.75;1.0;0.25;0.25;1.0;0.0;0.0;0.0;0.75;0.5;0.5;0.25;0.25;0.25;0.25;0.25;0.5
tema3_ej1;2;6;Suma de los divisores de un número;3.5;1.0;0.0;0.5;1.0;0.5;0.25;0.75;1.0;0.75;0.75;0.25;0.25;0.25;0.25;0.0;0.25
tema2_ej1;2;1;Calculadora Geométrica;2.5;1.0;0.0;0.25;1.0;0.25;0.5;0.5;0.75;0.0;0.25;0.25;0.25;0.0;0.25;0.0;0.0
tema2_ej3;2;44;Números Perfectos;3.0;1.0;0.25;0.25;0.75;0.25;0.25;0.25;1.0;0.75;0.25;0.25;0.5;0.25;0.25;0.25;0.5
tema4_ej1;4;11;Adivina la palabra;4.0;1.0;1.0;0.5;1.0;0.75;0.75;0.25;0.75;0.75;0.5;0.5;0.75;0.25;0.5;0.25;0.25
tema4_ej3;3;37;Jerigonzo;3.0;1.0;0.75;0.25;0.75;0.25;0.25;0.25;0.75;0.75;0.5;0.25;0.5;0.25;0.25;0.25;0.25
tema8_ej4;3;28;Encriptador ROT13;2.75;1.0;0.75;0.25;0.5;0.75;0.25;0.25;0.75;0.25;0.5;0.25;0.5;0.25;0.25;0.25;0.25
tema8_ej2;5;12;Función buscarTodas;3.0;1.0;0.75;0.25;1.0;0.25;0.25;0.5;0.75;0.5;0.25;0.25;0.5;0.5;0.25;0.0;0.0
