rut,programa,nrc,sol1,sol2,sol3,sol4,tarea1,tarea2,controles,np,examen,final,estado
0,INGENIERIA INDUSTRIAL,17933,6.2,6.8,5.1,6.0,3.5,7.0,5.8,5.86,5.9,5.9,A
1,INGENIERIA CIVIL INDUSTRIAL,17350,7.0,6.9,7.0,7.0,7.0,6.4,3.4,6.47,6.5,6.5,A
2,INGENIERIA CIVIL INDUSTRIAL,17350,5.6,6.0,4.5,5.4,5.5,1.0,4.4,4.2,6.0,4.7,A
3,INGENIERIA CIVIL INDUSTRIAL,17350,3.9,4.7,3.7,4.1,3.0,1.0,3.7,3.12,6.6,4.2,A
4,INGENIERIA EN COMPUTACION E INFORMATICA,17330,4.6,6.6,4.7,5.3,6.5,6.2,6.7,5.84,6.0,5.9,A
5,INGENIERIA EN COMPUTACION E INFORMATICA,17346,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,R
6,INGENIERIA EN COMPUTACION E INFORMATICA,17344,6.6,5.0,5.6,5.7,1.5,6.6,7.0,5.43,5.4,5.4,A
7,INGENIERIA CIVIL INDUSTRIAL,17350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,R
8,INGENIERIA EN COMPUTACION E INFORMATICA,17344,4.6,4.8,6.4,5.6,4.5,7.0,7.0,5.8,5.8,5.8,A
9,INGENIERIA CIVIL INDUSTRIAL,17350,5.3,6.1,6.0,5.8,2.0,6.4,4.1,5.21,5.2,5.2,A
10,INGENIERIA EN COMPUTACION E INFORMATICA,17346,5.3,4.9,5.3,5.2,5.5,4.1,4.7,4.9,7.0,5.5,A
11,INGENIERIA INDUSTRIAL,17349,6.3,6.4,6.2,6.2,6.0,6.0,3.1,5.84,5.8,5.8,A
12,INGENIERIA CIVIL INDUSTRIAL,17350,5.2,1.0,1.0,1.0,1.0,1.0,1.0,1.52,1.0,1.4,R
13,INGENIERIA INDUSTRIAL,17344,5.2,5.1,4.4,4.9,5.5,7.0,5.6,5.58,5.6,5.6,A
14,INGENIERIA EN COMPUTACION E INFORMATICA,17346,7.0,6.8,6.3,6.7,6.5,6.8,5.3,6.55,6.6,6.6,A
15,INGENIERIA CIVIL INDUSTRIAL,17350,6.8,6.5,7.0,6.8,5.5,6.1,6.3,6.36,6.0,6.3,A
16,INGENIERIA INDUSTRIAL,17345,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,R
17,INGENIERIA CIVIL INFORMATICA,17339,6.8,6.8,6.6,6.7,7.0,6.2,7.0,6.66,6.7,6.7,A
18,INGENIERIA CIVIL INDUSTRIAL,17349,6.6,6.6,6.6,6.6,6.0,6.0,6.7,6.37,6.4,6.4,A
19,INGENIERIA INDUSTRIAL,17344,5.7,5.6,6.4,5.9,7.0,6.6,7.0,6.35,6.4,6.4,A
20,INGENIERIA EN COMPUTACION E INFORMATICA,17344,6.8,5.9,5.9,6.2,7.0,6.2,5.8,6.28,6.3,6.3,A
21,INGENIERIA CIVIL INFORMATICA,17335,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,A
22,INGENIERIA CIVIL INDUSTRIAL,17333,6.2,6.4,6.2,6.3,4.0,4.8,7.0,5.63,5.6,5.6,A
23,INGENIERIA INDUSTRIAL,17933,6.8,6.6,7.0,6.8,7.0,7.0,7.0,6.9,6.9,6.9,A
24,INGENIERIA EN COMPUTACION E INFORMATICA,17346,6.8,6.6,6.8,6.7,7.0,7.0,5.7,6.73,6.7,6.7,A
25,INGENIERIA EN COMPUTACION E INFORMATICA,17345,7.0,5.0,6.6,6.2,6.5,7.0,4.0,6.22,6.2,6.2,A
26,INGENIERIA EN COMPUTACION E INFORMATICA,17330,5.6,5.6,6.0,5.7,1.6,2.6,7.0,4.45,5.6,4.8,A
27,INGENIERIA INDUSTRIAL,17344,6.3,6.8,6.2,6.4,4.5,7.0,7.0,6.33,6.3,6.3,A
28,INGENIERIA EN COMPUTACION E INFORMATICA,17344,6.3,6.3,1.0,2.8,4.5,1.0,4.2,3.39,3.4,3.4,R
29,INGENIERIA CIVIL INDUSTRIAL,17350,5.5,6.2,5.1,5.6,4.1,3.1,5.2,4.71,5.0,4.8,A
30,INGENIERIA EN COMPUTACION E INFORMATICA,17345,6.8,6.5,6.7,6.7,7.0,6.2,7.0,6.63,6.6,6.6,A
31,INGENIERIA INDUSTRIAL,17332,7.0,6.1,5.1,6.1,1.0,2.8,4.9,4.37,5.2,4.6,A
32,INGENIERIA EN COMPUTACION E INFORMATICA,17346,6.6,6.8,5.8,6.4,5.0,4.5,6.6,5.73,5.7,5.7,A
33,INGENIERIA CIVIL INDUSTRIAL,17327,6.8,6.3,6.6,6.6,6.8,7.0,7.0,6.75,6.8,6.8,A
34,INGENIERIA CIVIL INFORMATICA,17931,6.2,5.5,5.6,5.8,6.6,1.0,1.0,4.22,6.4,4.9,A
