rut,programa,nrc,exitosos,fallidos,hito1,hito2,hito3,hito4,p1,p2,p3,p4,sol1
1,UNAB22115,1633,10,21,17,0,0,0,:25:17:4:26:29:23:0:22:10:3,,,,1.0
2,UNAB22115,1632,7,9,12,0,0,0,:25:17:4:26:29:23:0,,,,1.0
3,UNAB22115,1632,6,10,11,0,0,0,:25:17:26:29:23:0,,,,1.0
4,UNAB22115,1633,0,0,0,0,0,0,,,,,1.0
5,UNAB22510,10471,0,0,0,0,0,0,,,,,1.0
6,UNAB22115,1635,0,0,0,0,0,0,,,,,1.0
7,UNAB22505,10476,0,0,0,0,0,0,,,,,1.0
8,UNAB21500,10475,0,16,0,0,0,0,,,,,1.0
9,UNAB22115,1632,0,0,0,0,0,0,,,,,1.0
10,UNAB22115,1635,0,0,0,0,0,0,,,,,1.0
11,UNAB22115,1632,0,0,0,0,0,0,,,,,1.0
12,UNAB22100,10474,0,0,0,0,0,0,,,,,1.0
13,UNAB22115,1635,0,0,0,0,0,0,,,,,1.0
14,UNAB22115,1632,7,9,12,0,0,0,:25:17:4:26:29:23:0,,,,1.0
15,UNAB22510,10476,0,0,0,0,0,0,,,,,1.0
16,UNAB22115,1633,12,19,22,0,0,0,:25:17:4:26:29:23:0:22:10:3:42:18,,,,1.0
17,UNAB21500,10471,0,31,0,0,0,0,,,,,1.0
18,UNAB22100,10475,14,2,27,0,0,0,:25:17:4:26:29:23:0:22:10:7:32:13:18:35,,,,1.0
19,UNAB22115,1635,0,0,0,0,0,0,,,,,1.0
20,UNAB12100,10458,0,0,0,0,0,0,,,,,1.0
21,UNAB22115,1632,7,9,12,0,0,0,:25:17:4:26:29:23:0,,,,1.0
22,UNAB22115,1633,0,0,0,0,0,0,,,,,1.0
23,UNAB22115,1632,0,0,0,0,0,0,,,,,1.0
24,UNAB21503,1632,0,0,0,0,0,0,,,,,1.0
25,UNAB21500,10471,0,0,0,0,0,0,,,,,1.0
26,UNAB22115,1632,0,0,0,0,0,0,,,,,1.0
27,UNAB22115,1632,7,9,12,0,0,0,:25:17:4:26:29:23:0,,,,1.0
28,UNAB12100,10452,0,0,0,0,0,0,,,,,1.0
29,UNAB21500,10475,0,0,0,0,0,0,,,,,1.0
30,UNAB12100,10458,0,0,0,0,0,0,,,,,1.0
31,UNAB22115,1633,2,29,2,0,0,0,:25:17,,,,1.0
32,UNAB12100,10454,10,6,20,0,0,0,:25:17:4:26:0:3:32:13:18:35,,,,1.0
33,UNAB12210,10452,11,5,21,0,0,0,:25:17:4:26:29:23:0:22:10:32:13,,,,1.0
34,UNAB22510,10476,0,0,0,0,0,0,,,,,1.0
35,UNAB11500,10450,0,0,0,0,0,0,,,,,1.0
36,UNAB12100,10459,0,0,0,0,0,0,,,,,1.0
37,UNAB22510,10471,12,19,22,0,0,0,:25:17:4:29:23:0:22:10:7:32:13:18,,,,1.0
38,UNAB11500,10462,0,0,0,0,0,0,,,,,1.0
39,UNAB12100,10460,0,0,0,0,0,0,,,,,1.0
40,UNAB12510,10463,17,30,30,0,0,0,:25:25:17:17:4:4:26:26:29:29:23:0:22:10:32:13:18,,,,1.0
41,UNAB12210,10452,6,10,8,0,0,0,:25:17:4:26:22:10,,,,1.0
42,UNAB12210,10470,0,0,0,0,0,0,,,,,1.0
43,UNAB11500,10454,2,14,2,0,0,0,:25:17,,,,1.0
44,UNAB11500,10455,0,0,0,0,0,0,,,,,1.0
45,UNAB11500,10463,10,6,19,0,0,0,:25:17:4:26:29:23:0:7:32:13,,,,1.0
46,UNAB11500,10455,0,16,0,0,0,0,,,,,1.0
47,UNAB11500,10463,10,6,19,0,0,0,:25:17:4:23:0:22:10:32:13:18,,,,1.0
48,UNAB11500,10455,0,0,0,0,0,0,,,,,1.0
49,UNAB12100,10462,2,14,2,0,0,0,:25:17,,,,1.0
50,UNAB12100,10450,0,16,0,0,0,0,,,,,1.0
51,UNAB12100,10454,7,9,11,0,0,0,:25:17:4:26:0:22:32,,,,1.0
52,UNAB21500,10471,0,16,0,0,0,0,,,,,1.0
53,UNAB11500,10450,0,0,0,0,0,0,,,,,1.0
54,UNAB12100,10462,8,8,15,0,0,0,:25:17:26:23:0:22:3:32,,,,1.0
55,UNAB11500,10460,10,6,17,0,0,0,:25:17:4:26:29:23:0:22:10:3,,,,1.0
56,UNAB12100,10458,8,8,12,0,0,0,:25:17:4:26:29:0:22:10,,,,1.0
57,UNAB12100,10452,7,24,13,0,0,0,:17:4:29:23:0:22:32,,,,1.0
58,UNAB12210,10456,1,31,1,0,0,0,:25,,,,1.0
59,UNAB12100,10458,8,8,13,0,0,0,:25:17:4:26:29:0:10:42,,,,1.0
60,UNAB12210,10452,7,9,9,0,0,0,:25:17:4:26:22:10:7,,,,1.0
61,UNAB11500,10454,17,14,21,6,0,0,:25:4:26:29:23:0:22:10:3:42:32:18:35,:6:44:37:28,,,1.0
62,UNAB21500,10475,12,19,22,0,0,0,:25:17:4:26:22:10:3:7:32:13:18:35,,,,1.0
63,UNAB11500,10459,9,7,13,0,0,0,:25:17:4:26:29:0:3:42:7,,,,1.0
64,UNAB12100,10452,7,9,12,0,0,0,:25:17:4:26:29:23:22,,,,1.0
65,UNAB11500,10456,0,0,0,0,0,0,,,,,1.0
66,UNAB12100,10462,0,16,0,0,0,0,,,,,1.0
67,UNAB12100,10462,6,10,10,0,0,0,:25:17:4:26:23:0,,,,1.0
68,UNAB11500,10468,0,16,0,0,0,0,,,,,1.0
69,UNAB12210,10454,4,27,2,2,0,0,:25:17,:6:44,,,1.0
