rut,tema2,tema3,tema4,tema5,tema6,tema7,tema8,hito1,hito2,hito3,hito4,seq1,seq2,seq3,seq4,c1,c2,c3,c4,e1,e2,e3,e4,exitosos,fallidos,envios,videos
0,1,0,0,0,0,0,0,18,3,0,0,abacabadadacbhbbadadadad,bdbbbd,,,:1:2:1:3:3:2:23:17:3:3:3:3,:19:17:19,,,:25:17:4:26:29:23:0:22:10:3:42:18,:6:1:44,,,15,24,39,0
1,0,0,0,0,0,0,0,14,0,0,0,abacabadadacbhbbadad,,,,:1:2:1:3:3:2:23:17:3:3,,,,:25:17:4:26:29:23:0:22:10:3,,,,10,6,16,0
2,0,0,0,0,0,0,0,17,0,0,0,abacabadadacadadadadbd,,,,:1:2:1:3:3:2:3:3:3:3:19,,,,:25:17:4:26:29:23:3:42:32:18:35,,,,11,20,31,0
3,0,0,0,0,0,0,0,1,0,0,0,ab,,,,:1,,,,:25,,,,7,17,24,0
4,0,0,0,0,0,0,0,19,2,0,0,abacabadacbhbbadadadbd,bbbd,,,:1:2:1:3:2:23:17:3:3:3:19,:17:19,,,:25:17:4:29:23:0:22:3:42:32:13,:1:44,,,13,18,31,0
5,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0
6,0,0,0,0,0,0,0,18,0,0,0,abacabadadbhbbadadbd,,,,:1:2:1:3:3:23:17:3:3:19,,,,:25:17:4:26:29:0:22:10:32:13,,,,10,21,31,0
7,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0
8,1,0,0,0,0,0,0,22,3,0,0,abacabadacbhbbadadadadbdad,bdch,,,:1:2:1:3:2:23:17:3:3:3:3:19:3,:19:39,,,:25:17:4:26:23:0:22:10:3:42:32:13:18,:44:28,,,15,24,39,1
9,0,0,0,0,0,0,0,14,0,0,0,abacabadadacbhbbadad,,,,:1:2:1:3:3:2:23:17:3:3,,,,:25:17:4:26:29:23:0:22:10:3,,,,18,6,24,0
10,0,0,0,0,0,0,0,22,0,0,0,abacabadadacbhbbadadadadadbd,,,,:1:2:1:3:3:2:23:17:3:3:3:3:3:19,,,,:25:17:4:26:29:23:0:22:10:3:42:32:18:35,,,,19,20,39,0
11,0,0,0,0,0,0,0,12,4,0,0,acabadadbbadadad,bbbdch,,,:2:1:3:3:17:3:3:3,:17:19:39,,,:17:4:26:29:22:10:3:42,:1:44:28,,,11,20,31,0
12,0,0,0,0,0,0,0,9,0,0,0,abacabadadbb,,,,:1:2:1:3:3:17,,,,:25:17:4:26:29:22,,,,12,12,24,2
13,0,0,0,0,0,0,0,13,0,0,0,abacabadbhbbadadbd,,,,:1:2:1:3:23:17:3:3:19,,,,:25:17:4:26:0:22:10:3:35,,,,9,22,31,0
14,0,0,0,0,0,0,0,18,3,0,0,abacabadadacbhbbadadadad,bdch,,,:1:2:1:3:3:2:23:17:3:3:3:3,:19:39,,,:25:17:4:26:29:23:0:22:10:3:42:18,:6:28,,,17,22,39,0
15,0,0,0,0,0,0,0,20,1,0,0,abacabadadacbhbbadadadadbd,bd,,,:1:2:1:3:3:2:23:17:3:3:3:3:19,:19,,,:25:17:4:26:29:23:0:22:10:3:42:18:35,:6,,,14,25,39,0
16,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0
17,0,0,0,0,0,0,0,27,11,0,0,abacabadadacbhbbadadadabadbdadbd,bdbbbdchchchch,,,:1:2:1:3:3:2:23:17:3:3:3:1:3:19:3:19,:19:17:19:39:39:39:39,,,:25:17:4:26:29:23:0:22:10:3:42:7:32:13:18:35,:6:1:44:11:37:28:12,,,23,16,39,0
18,1,0,0,0,0,0,0,21,14,0,0,abacabadadbhbbadadabadadbd,bdbbbdchchchchchdhch,,,:1:2:1:3:3:23:17:3:3:1:3:3:19,:19:17:19:39:39:39:39:39:55:39,,,:25:17:4:26:29:0:22:10:42:7:32:18:35,:6:1:44:37:28:12:21:38:8:9,,,23,24,47,4
19,1,0,0,0,0,0,0,18,4,0,0,abacabadadbhbbadadadbd,bdchch,,,:1:2:1:3:3:23:17:3:3:3:19,:19:39:39,,,:25:17:4:26:29:0:22:3:42:18:35,:6:28:12,,,14,25,39,0
20,0,0,0,0,0,0,0,12,0,0,0,abacabadadbhbbad,,,,:1:2:1:3:3:23:17:3,,,,:25:17:4:26:29:0:22:10,,,,8,8,16,0
21,1,0,0,0,0,0,0,19,2,0,0,abacabadadacbhbbadadadabad,bdbd,,,:1:2:1:3:3:2:23:17:3:3:3:1:3,:19:19,,,:25:17:4:26:29:23:0:22:10:3:42:7:32,:6:44,,,15,32,47,7
22,1,0,0,0,0,0,0,27,7,0,0,abacabadadacbhbbadadadabadbdadbd,bdbbbdchch,,,:1:2:1:3:3:2:23:17:3:3:3:1:3:19:3:19,:19:17:19:39:39,,,:25:17:4:26:29:23:0:22:10:3:42:7:32:13:18:35,:6:1:44:37:28,,,28,19,47,13
23,24,0,0,0,0,0,0,27,28,0,0,abacabadadacbhbbadadadabadbdadbd,bdbbbdchchchchchchdhfhchdhehch,,,:1:2:1:3:3:2:23:17:3:3:3:1:3:19:3:19,:19:17:19:39:39:39:39:39:39:55:87:39:55:71:39,,,:25:17:4:26:29:23:0:22:10:3:42:7:32:13:18:35,:6:1:44:11:37:28:12:21:38:8:48:9:2:33:31,,,47,0,47,7
24,0,0,0,0,0,0,0,17,0,0,0,abacabadadacbhadadadabad,,,,:1:2:1:3:3:2:23:3:3:3:1:3,,,,:25:17:4:26:29:23:0:10:3:42:7:32,,,,12,12,24,0
25,0,0,0,0,0,0,0,15,0,0,0,abacabadadacbbadadbd,,,,:1:2:1:3:3:2:17:3:3:19,,,,:25:17:4:26:29:23:22:3:42:35,,,,10,21,31,0
26,0,0,0,0,0,0,0,20,4,0,0,abacabadadbhbbadadadadbd,bdbdch,,,:1:2:1:3:3:23:17:3:3:3:3:19,:19:19:39,,,:25:17:4:26:29:0:22:10:42:32:18:35,:6:44:37,,,15,24,39,5
