rut,t1,r1,p1,t2,r2,p2,t3,r3,p3,t4,r4,p4,t5,r5,p5,t6,r6,p6,op1,op2,op3,op4,op5,op6,pt,game_score,score,score_a,score_p,score_d,score_s
0,64.3013103,1,4,251.0564093,3,10,224.745993,1,19,59.952302,1,5,180.2234557,5,13,105.741338,1,5,1,1,0,1,1,0,56,20.19202207,8,5,4,2,3
1,97.17089997,2,5,93.27364,2,9,108.99154,1,18,38.2730334,1,3,62.5489466,1,7,47.40264,2,4,0,0,0,1,0,1,46,17.10251114,8,4,4,2,3
2,85.59673437,1,8,217.0711803,7,16,150.40652,1,11,96.7101003,1,5,59.137248,1,2,102.937465,2,7,1,1,0,0,0,1,49,17.44534334,8,5,4,3,2
3,57.77616303,1,2,97.665937,1,4,187.0636336,2,11,69.7781864,2,6,44.290579,1,4,78.262694,1,8,0,0,0,0,1,0,35,19.18171782,6,3,3,1,2
4,32.51981634,1,3,57.51439663,2,5,75.5684387,1,8,54.644516,1,3,91.402663,2,6,148.266473,4,20,1,1,1,0,1,1,45,13.49464624,10,6,4,3,3
5,171.8334483,3,17,119.11679,2,10,250.1836323,3,20,76.616859,2,5,61.200057,3,4,58.6167887,2,5,0,1,1,1,1,1,61,18.10999014,9,6,4,3,3
6,124.229255,3,47,48.252944,1,11,79.1230763,1,11,115.836988,3,27,34.416659,1,14,36.963991,1,12,1,1,0,1,0,0,122,19.28390775,8,4,4,3,3
7,61.88488797,1,7,54.659338,1,12,83.578779,1,14,94.583914,2,15,60.303409,1,13,99.012441,3,20,1,0,1,1,0,0,81,16.75901211,5,4,2,2,1
8,18.63171766,1,8,30.9841,1,10,61.76179833,1,20,40.0009877,2,17,35.867928,1,15,35.517905,1,14,1,1,0,1,0,0,84,15.5082362,5,3,2,1,2
9,381.6505967,9,28,75.3470066,1,11,113.8203494,1,7,50.553369,1,3,66.6491093,2,4,110.537645,2,7,1,1,1,1,1,1,60,17.36245782,2,2,2,0,0
10,21.24801433,1,15,26.693425,1,11,84.05994337,1,15,159.627102,2,12,35.235706,1,7,61.5456033,1,9,1,1,0,0,0,0,69,18.5774801,4,3,1,3,1
11,575.0314327,9,70,64.29117,1,12,109.8668457,1,30,116.0161466,2,16,41.9432277,1,14,123.963937,2,28,1,0,0,1,0,0,170,30.80788842,6,4,2,1,3
12,272.8887,14,27,81.58826,1,6,260.14092,3,26,298.24178,5,16,42.71764,1,3,278.4803397,4,10,0,1,1,1,1,0,88,24.07674442,7,4,4,1,1
13,340.44118,3,10,125.31038,1,11,506.7894337,6,49,96.68876,1,5,61.97278,1,3,71.04678,1,4,0,0,0,0,0,1,82,26.90769957,4,3,1,1,2
14,45.5,1,5,92.78158,2,5,212.2371533,2,10,124.16398,2,8,99.32442,3,5,159.7654334,2,3,1,1,1,0,0,1,36,16.06351543,4,3,1,1,3
15,86.54676734,1,5,118.568193,3,15,231.2325827,2,13,41.481367,1,4,48.23644,1,3,83.6284203,2,7,0,1,1,1,1,1,47,14.90298307,2,1,1,1,1
16,136.3213933,1,7,73.339819,1,7,92.0411724,1,21,83.3649,3,20,47.5944283,1,6,40.816506,1,5,1,1,0,1,0,1,66,16.66499032,8,5,4,2,2
17,215.56075,11,35,49.549121,1,2,199.3655063,1,8,140.041638,2,8,164.057281,2,8,108.857049,2,4,0,1,0,0,0,1,65,21.13862999,11,7,5,4,3
18,171.194972,1,6,118.9880163,1,7,391.4834743,2,25,122.3484917,1,12,68.4554033,1,9,50.8121643,1,5,1,0,0,0,0,1,64,24.06920637,10,7,4,4,3
19,123.0358386,1,6,133.7649217,3,10,463.622319,9,34,56.5305247,1,4,39.3418743,1,3,85.0450717,9,3,0,1,0,0,0,1,60,19.78822432,7,5,3,2,3
20,235.695726,11,17,817.6501387,24,56,403.422115,9,54,190.454699,6,26,58.761676,1,11,37.364933,1,9,1,0,1,0,0,1,173,34.99560124,4,3,2,1,1
21,46.11378537,1,3,36.897676,1,5,109.8766143,1,3,125.408891,2,4,71.995638,1,2,119.359238,3,7,1,1,0,0,0,0,24,13.48448273,10,7,4,4,3
22,14.9474633,1,4,312.4427027,3,41,46.2097737,1,14,37.3850383,1,6,28.9605363,1,4,80.8594437,1,19,0,0,0,0,0,0,88,28.03009078,4,2,2,1,2
23,119.9348037,5,11,34.834133,1,8,92.657409,2,18,91.290563,1,8,176.6565863,9,24,27.22659,1,9,1,0,1,0,1,1,78,16.95180917,10,6,5,3,3
24,27.155248,1,3,112.265106,3,17,150.5813286,1,7,89.8655024,1,2,117.431759,1,3,75.165521,1,10,1,1,0,0,0,0,42,17.9022481,4,4,1,1,1
25,38.585319,1,4,71.322821,2,6,169.768669,3,17,41.484166,1,6,53.746184,3,9,51.130519,2,10,1,1,1,1,1,1,52,13.27799998,7,3,4,2,3
26,127.0773354,5,6,174.152848,2,6,267.32088,3,8,41.864647,1,1,90.512087,2,2,40.681259,1,1,1,1,0,1,0,1,24,16.51923078,7,5,3,3,2
27,116.1027554,1,9,156.187434,1,10,269.4219846,2,13,68.8646,1,2,95.92676,1,4,126.740691,1,6,0,0,0,1,0,0,44,22.13434224,10,6,5,3,2
28,56.62793733,1,1,146.886654,2,3,454.584083,5,16,53.520558,1,2,110.713293,4,3,69.671415,1,3,1,1,1,1,0,0,28,17.10002645,4,3,1,1,2
29,76.4474687,2,16,41.3060733,1,12,71.464376,1,25,46.454698,1,19,18.911744,1,12,26.0434204,1,9,0,1,0,0,0,0,93,18.37074224,3,2,0,2,1
30,159.068167,5,12,141.07189,5,14,186.3536664,1,4,59.631663,1,7,136.876455,4,17,184.771876,3,12,1,1,0,1,1,0,66,21.58474421,8,5,4,2,2
