rut,programa,hito1,hito2,hito3,hito4,exitosos,fallidos,ejercicios_hito1,ejercicios_hito2,ejercicios_hito3,ejercicios_hito4,sol1,sol2,sol3,sol4
0,INGENIERIA INDUSTRIAL,18,3,0,0,15,24,:25:17:4:26:29:23:0:22:10:3:42:18,:6:1:44,,,6.2,6.8,5.1,6.0
1,INGENIERIA CIVIL INDUSTRIAL,14,0,0,0,10,6,:25:17:4:26:29:23:0:22:10:3,,,,7.0,6.9,7.0,7.0
2,INGENIERIA CIVIL INDUSTRIAL,17,0,0,0,11,20,:25:17:4:26:29:23:3:42:32:18:35,,,,5.6,6.0,4.5,5.4
4,INGENIERIA EN COMPUTACION E INFORMATICA,19,2,0,0,13,18,:25:17:4:29:23:0:22:3:42:32:13,:1:44,,,4.6,6.6,4.7,5.3
6,INGENIERIA EN COMPUTACION E INFORMATICA,18,0,0,0,10,21,:25:17:4:26:29:0:22:10:32:13,,,,6.6,5.0,5.6,5.7
8,INGENIERIA EN COMPUTACION E INFORMATICA,22,3,0,0,15,24,:25:17:4:26:23:0:22:10:3:42:32:13:18,:44:28,,,4.6,4.8,6.4,5.6
9,INGENIERIA CIVIL INDUSTRIAL,14,0,0,0,18,6,:25:17:4:26:29:23:0:22:10:3,,,,5.3,6.1,6.0,5.8
10,INGENIERIA EN COMPUTACION E INFORMATICA,22,0,0,0,19,20,:25:17:4:26:29:23:0:22:10:3:42:32:18:35,,,,5.3,4.9,5.3,5.2
11,INGENIERIA INDUSTRIAL,12,4,0,0,11,20,:17:4:26:29:22:10:3:42,:1:44:28,,,6.3,6.4,6.2,6.2
13,INGENIERIA INDUSTRIAL,13,0,0,0,9,22,:25:17:4:26:0:22:10:3:35,,,,5.2,5.1,4.4,4.9
14,INGENIERIA EN COMPUTACION E INFORMATICA,18,3,0,0,17,22,:25:17:4:26:29:23:0:22:10:3:42:18,:6:28,,,7.0,6.8,6.3,6.7
15,INGENIERIA CIVIL INDUSTRIAL,20,1,0,0,14,25,:25:17:4:26:29:23:0:22:10:3:42:18:35,:6,,,6.8,6.5,7.0,6.8
17,INGENIERIA CIVIL INFORMATICA,27,11,0,0,23,16,:25:17:4:26:29:23:0:22:10:3:42:7:32:13:18:35,:6:1:44:11:37:28:12,,,6.8,6.8,6.6,6.7
18,INGENIERIA CIVIL INDUSTRIAL,21,14,0,0,23,24,:25:17:4:26:29:0:22:10:42:7:32:18:35,:6:1:44:37:28:12:21:38:8:9,,,6.6,6.6,6.6,6.6
19,INGENIERIA INDUSTRIAL,18,4,0,0,14,25,:25:17:4:26:29:0:22:3:42:18:35,:6:28:12,,,5.7,5.6,6.4,5.9
20,INGENIERIA EN COMPUTACION E INFORMATICA,12,0,0,0,8,8,:25:17:4:26:29:0:22:10,,,,6.8,5.9,5.9,6.2
21,INGENIERIA CIVIL INFORMATICA,19,2,0,0,15,32,:25:17:4:26:29:23:0:22:10:3:42:7:32,:6:44,,,7.0,7.0,7.0,7.0
22,INGENIERIA CIVIL INDUSTRIAL,27,7,0,0,28,19,:25:17:4:26:29:23:0:22:10:3:42:7:32:13:18:35,:6:1:44:37:28,,,6.2,6.4,6.2,6.3
23,INGENIERIA INDUSTRIAL,27,28,0,0,47,0,:25:17:4:26:29:23:0:22:10:3:42:7:32:13:18:35,:6:1:44:11:37:28:12:21:38:8:48:9:2:33:31,,,6.8,6.6,7.0,6.8
24,INGENIERIA EN COMPUTACION E INFORMATICA,17,0,0,0,12,12,:25:17:4:26:29:23:0:10:3:42:7:32,,,,6.8,6.6,6.8,6.7
25,INGENIERIA EN COMPUTACION E INFORMATICA,15,0,0,0,10,21,:25:17:4:26:29:23:22:3:42:35,,,,7.0,5.0,6.6,6.2
