hito;oid;nombre;s1;s2;s3;s4;k1;k2;k3;k4;skill;knowledge;complexity;item
1;0973dae0e1b74ab8baa8d94339ee3ae6;Cálculo del dígito verificador del rut;0;0;0;1;0;1;1;1;1;7;23;bh
2;16f619db31204ded9418136c4587ddd8;Calculadora Geométrica;0;0;0;1;0;0;0;1;1;1;17;bb
2;17022c9ceac94ec5b2e7bc934c7b2d6f;Subsecuencias de ADN;0;0;1;1;0;1;1;1;3;7;55;dh
1;171b5e86d4fb47268f2692587fbec073;Números Primos;0;0;0;0;0;0;1;1;0;3;3;ad
1;2437df93d3f44a87b00834072aeb1ab0;Nota Final;0;0;0;0;0;0;0;1;0;1;1;ab
4;24b87304a1eb4e95856da7f574a66fe8;Validador de Expresiones Matemáticas;1;0;0;0;0;1;1;1;8;7;135;ih
2;29f15ef8dc32426f945f64e28c910a57;Suma de los divisores de un número;0;0;0;1;0;0;1;1;1;3;19;bd
1;31ea1c1b12174428b5a67a6576627de9;Resolver un sistema de ecuaciones;0;0;0;0;0;0;0;1;0;1;1;ab
2;37e4f4a1e8174e9496d21b00d67fc8f1;Distancia Levenshtein;0;0;1;1;0;1;1;1;3;7;55;dh
2;3d7d9e64ac0846caadc08dccf2538f55;Validar Secuencias de ADN;0;0;1;0;0;1;1;1;2;7;39;ch
1;46850a246d48484b8f104f8aab5679b6;Descomponer un número;0;0;0;0;0;0;1;1;0;3;3;ad
2;4d51d13b9a2848a2803f7d1143fde6d4;Adivina la palabra;0;0;1;0;0;1;1;1;2;7;39;ch
2;4d5ed23727c04a8790f2e4ab3f09767e;Función buscarTodas;0;0;1;0;0;1;1;1;2;7;39;ch
1;52620b0c858a4c59bc324b65278d28bd;Cajero Automático Nivel 2;0;0;0;1;0;0;1;1;1;3;19;bd
3;5590919d229f4e8f8fc34c66b93a73fe;Clase Auto;0;0;1;0;1;0;1;1;2;11;43;cl
3;61538386ed7e4b889ff17395cfec7c6b;Twitter;0;1;0;1;0;1;1;1;5;7;87;fh
3;677fbf669a0d496c843190c116b4f173;Ornitología 1;0;0;0;0;1;0;0;0;0;8;8;ai
1;718578451f3f4eca87437cadfe98d688;Suma de los N primeros números naturales;0;0;0;0;0;0;1;0;0;2;2;ac
1;729d37da8f2d46f3af2d891df04949ef;Juego Adivina mi número;0;0;0;0;0;0;1;1;0;3;3;ad
3;7531f377820249289b238400412eb24c;Cuenta Corriente en un Banco;0;0;1;0;1;0;1;1;2;11;43;cl
3;7a1fcba4d7f24d129224d62accfef216;Multiplicación de Matrices ;0;1;0;0;0;1;1;1;4;7;71;eh
2;7da6cedd04c44a15b5e421440253acff;El antipoema;0;0;1;0;0;1;1;1;2;7;39;ch
1;7f60644b0a1b484681ae5c8e36166c58;Signo del Zodíaco;0;0;0;1;0;0;0;1;1;1;17;bb
1;80c61dae74fa4915bf272ab17dfa62ff;Conversor de Decimal a Binario;0;0;0;0;0;0;1;0;0;2;2;ac
3;82e092a2744544d1b6cedde23d4596a5;Clase Vector3D;0;0;0;1;1;1;1;1;1;15;31;bp
1;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;0;0;0;0;0;0;0;1;0;1;1;ab
1;8f24397e36034cccb71e9d578975c33d;Contestador Automático;0;0;0;0;0;0;1;1;0;3;3;ad
3;995f2cf9681542a4a4738de074275f4a;Decodificador;0;0;1;0;0;1;1;1;2;7;39;ch
2;9e02c76901da440ba1b70f0a75d8ae89;Encriptador ROT13;0;0;1;0;0;1;1;1;2;7;39;ch
1;a3963220090f4e50a266ce53d33b9841;Aprobación de Créditos;0;0;0;0;0;0;1;1;0;3;3;ad
4;abbcd12771fd45ca823f6222f72b48c8;Interpretar Expresiones Matématicas;1;1;0;0;0;1;1;1;12;7;199;mh
2;abc052e584734d0f8121d5e5ca659f82;Carro de Compras;0;0;1;0;0;1;1;1;2;7;39;ch
1;ac7382763e484d37908da54c076f7577;Cajero Automático Nivel 1;0;0;0;0;0;0;1;1;0;3;3;ad
2;b16016fbdbf04317871d334cc4da6eae;Alineamiento de Secuencias;0;1;0;0;0;1;1;1;4;7;71;eh
3;b5e026a9cf014d71b110c58108a21752;Ornitología 3;0;0;0;0;1;1;0;0;0;12;12;am
1;baf2f8e0167a4e089d2cec16582c9ae9;Factores Primos;0;0;0;1;0;0;1;1;1;3;19;bd
4;be17b556785c428e8dabbef0c9d11f6f;Pintar Región;1;0;0;0;0;1;1;1;8;7;135;ih
